Geography,Financial Year,Budget Phase,Class,Total,Percent Increase
LIM362,2018/19,Adjusted Budget,Indigent HH receiving FBS,,-100.0
LIM362,2019/20,Budget Year,Indigent HH receiving FBS,600000.0,3.09
LIM362,2020/21,Budget Year,Indigent HH receiving FBS,650000.0,8.33
LIM362,2021/22,Budget Year,Indigent HH receiving FBS,700000.0,7.69
LIM366,2015/16,Audited Outcome,Middle Income Range,2163.73,
LIM366,2016/17,Audited Outcome,Middle Income Range,1989.41,-8.06
LIM366,2017/18,Audited Outcome,Middle Income Range,2104.92,5.81
LIM366,2018/19,Original Budget,Middle Income Range,2896.7,37.62
LIM366,2018/19,Adjusted Budget,Middle Income Range,2896.7,
LIM366,2019/20,Budget Year,Middle Income Range,3087.16,6.58
LIM366,2020/21,Budget Year,Middle Income Range,3297.27,6.81
LIM366,2021/22,Budget Year,Middle Income Range,3521.88,6.81
LIM366,2015/16,Audited Outcome,Affordable Range,2042.74,
LIM366,2016/17,Audited Outcome,Affordable Range,1885.83,-7.68
LIM366,2017/18,Audited Outcome,Affordable Range,1991.46,5.6
LIM366,2018/19,Original Budget,Affordable Range,1907.55,-4.21
LIM366,2018/19,Adjusted Budget,Affordable Range,1907.55,
LIM366,2019/20,Budget Year,Affordable Range,2031.57,6.5
LIM366,2020/21,Budget Year,Affordable Range,2170.3,6.83
LIM366,2021/22,Budget Year,Affordable Range,2318.62,6.83
LIM366,2015/16,Audited Outcome,Indigent HH receiving FBS,636.7,
LIM366,2016/17,Audited Outcome,Indigent HH receiving FBS,608.68,-4.4
LIM366,2017/18,Audited Outcome,Indigent HH receiving FBS,666.25,9.46
LIM366,2018/19,Original Budget,Indigent HH receiving FBS,625.98,-6.04
LIM366,2018/19,Adjusted Budget,Indigent HH receiving FBS,625.98,
LIM366,2019/20,Budget Year,Indigent HH receiving FBS,673.59,7.61
LIM366,2020/21,Budget Year,Indigent HH receiving FBS,724.92,7.62
LIM366,2021/22,Budget Year,Indigent HH receiving FBS,780.26,7.63
LIM367,2015/16,Audited Outcome,Middle Income Range,2291.29,
LIM367,2016/17,Audited Outcome,Middle Income Range,2459.06,7.32
LIM367,2017/18,Audited Outcome,Middle Income Range,2547.81,3.61
LIM367,2018/19,Original Budget,Middle Income Range,2835.63,11.3
LIM367,2018/19,Adjusted Budget,Middle Income Range,2835.63,
LIM367,2019/20,Budget Year,Middle Income Range,3024.87,6.67
LIM367,2020/21,Budget Year,Middle Income Range,3227.37,6.69
LIM367,2021/22,Budget Year,Middle Income Range,3444.14,6.72
LIM367,2015/16,Audited Outcome,Affordable Range,1215.73,
LIM367,2016/17,Audited Outcome,Affordable Range,1312.69,7.98
LIM367,2017/18,Audited Outcome,Affordable Range,1367.04,4.14
LIM367,2018/19,Original Budget,Affordable Range,1558.52,14.01
LIM367,2018/19,Adjusted Budget,Affordable Range,1558.52,
LIM367,2019/20,Budget Year,Affordable Range,1667.9,7.02
LIM367,2020/21,Budget Year,Affordable Range,1785.42,7.05
LIM367,2021/22,Budget Year,Affordable Range,1911.75,7.08
LIM367,2015/16,Audited Outcome,Indigent HH receiving FBS,722.61,
LIM367,2016/17,Audited Outcome,Indigent HH receiving FBS,772.63,6.92
LIM367,2017/18,Audited Outcome,Indigent HH receiving FBS,821.27,6.3
LIM367,2018/19,Original Budget,Indigent HH receiving FBS,873.35,6.34
LIM367,2018/19,Adjusted Budget,Indigent HH receiving FBS,873.35,
LIM367,2019/20,Budget Year,Indigent HH receiving FBS,934.7,7.02
LIM367,2020/21,Budget Year,Indigent HH receiving FBS,1000.64,7.05
LIM367,2021/22,Budget Year,Indigent HH receiving FBS,1071.51,7.08
LIM368,2015/16,Audited Outcome,Middle Income Range,,
LIM368,2016/17,Audited Outcome,Middle Income Range,,
LIM368,2017/18,Audited Outcome,Middle Income Range,,
LIM368,2018/19,Original Budget,Middle Income Range,3486.42,
LIM368,2018/19,Adjusted Budget,Middle Income Range,3486.42,
LIM368,2019/20,Budget Year,Middle Income Range,3781.91,8.48
LIM368,2020/21,Budget Year,Middle Income Range,4050.42,7.1
LIM368,2021/22,Budget Year,Middle Income Range,4350.08,7.4
LIM368,2015/16,Audited Outcome,Affordable Range,,
LIM368,2016/17,Audited Outcome,Affordable Range,,
LIM368,2017/18,Audited Outcome,Affordable Range,,
LIM368,2018/19,Original Budget,Affordable Range,2175.46,
LIM368,2018/19,Adjusted Budget,Affordable Range,2175.46,
LIM368,2019/20,Budget Year,Affordable Range,2355.69,8.28
LIM368,2020/21,Budget Year,Affordable Range,2484.58,5.47
LIM368,2021/22,Budget Year,Affordable Range,2622.09,5.53
LIM368,2015/16,Audited Outcome,Indigent HH receiving FBS,,
LIM368,2016/17,Audited Outcome,Indigent HH receiving FBS,,
LIM368,2017/18,Audited Outcome,Indigent HH receiving FBS,,
LIM368,2018/19,Original Budget,Indigent HH receiving FBS,528.88,
LIM368,2018/19,Adjusted Budget,Indigent HH receiving FBS,528.88,
LIM368,2019/20,Budget Year,Indigent HH receiving FBS,577.97,9.28
LIM368,2020/21,Budget Year,Indigent HH receiving FBS,610.51,5.63
LIM368,2021/22,Budget Year,Indigent HH receiving FBS,645.45,5.72
DC36,2015/16,Audited Outcome,Middle Income Range,,
DC36,2016/17,Audited Outcome,Middle Income Range,,
DC36,2017/18,Audited Outcome,Middle Income Range,,
DC36,2018/19,Original Budget,Middle Income Range,,
DC36,2018/19,Adjusted Budget,Middle Income Range,,
DC36,2019/20,Budget Year,Middle Income Range,,
DC36,2020/21,Budget Year,Middle Income Range,,
DC36,2021/22,Budget Year,Middle Income Range,,
DC36,2015/16,Audited Outcome,Affordable Range,,
DC36,2016/17,Audited Outcome,Affordable Range,,
DC36,2017/18,Audited Outcome,Affordable Range,,
DC36,2018/19,Original Budget,Affordable Range,,
DC36,2018/19,Adjusted Budget,Affordable Range,,
DC36,2019/20,Budget Year,Affordable Range,,
DC36,2020/21,Budget Year,Affordable Range,,
DC36,2021/22,Budget Year,Affordable Range,,
DC36,2015/16,Audited Outcome,Indigent HH receiving FBS,,
DC36,2016/17,Audited Outcome,Indigent HH receiving FBS,,
DC36,2017/18,Audited Outcome,Indigent HH receiving FBS,,
DC36,2018/19,Original Budget,Indigent HH receiving FBS,,
DC36,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
DC36,2019/20,Budget Year,Indigent HH receiving FBS,,
DC36,2020/21,Budget Year,Indigent HH receiving FBS,,
DC36,2021/22,Budget Year,Indigent HH receiving FBS,,
LIM471,2015/16,Audited Outcome,Middle Income Range,,
LIM471,2016/17,Audited Outcome,Middle Income Range,,
LIM471,2017/18,Audited Outcome,Middle Income Range,,
LIM471,2018/19,Original Budget,Middle Income Range,,
LIM471,2018/19,Adjusted Budget,Middle Income Range,,
LIM471,2019/20,Budget Year,Middle Income Range,,
LIM471,2020/21,Budget Year,Middle Income Range,,
LIM471,2021/22,Budget Year,Middle Income Range,,
LIM471,2015/16,Audited Outcome,Affordable Range,,
LIM471,2016/17,Audited Outcome,Affordable Range,,
LIM471,2017/18,Audited Outcome,Affordable Range,,
LIM471,2018/19,Original Budget,Affordable Range,,
LIM471,2018/19,Adjusted Budget,Affordable Range,,
LIM471,2019/20,Budget Year,Affordable Range,,
LIM471,2020/21,Budget Year,Affordable Range,,
LIM471,2021/22,Budget Year,Affordable Range,,
LIM471,2015/16,Audited Outcome,Indigent HH receiving FBS,,
LIM471,2016/17,Audited Outcome,Indigent HH receiving FBS,,
LIM471,2017/18,Audited Outcome,Indigent HH receiving FBS,,
LIM471,2018/19,Original Budget,Indigent HH receiving FBS,,
LIM471,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
LIM471,2019/20,Budget Year,Indigent HH receiving FBS,,
LIM471,2020/21,Budget Year,Indigent HH receiving FBS,,
LIM471,2021/22,Budget Year,Indigent HH receiving FBS,,
LIM472,2015/16,Audited Outcome,Middle Income Range,1873.0,
LIM472,2016/17,Audited Outcome,Middle Income Range,2986.0,59.42
LIM472,2017/18,Audited Outcome,Middle Income Range,3341.2,11.9
LIM472,2018/19,Original Budget,Middle Income Range,3451.0,3.29
LIM472,2018/19,Adjusted Budget,Middle Income Range,3451.0,
LIM472,2019/20,Budget Year,Middle Income Range,3617.0,4.81
LIM472,2020/21,Budget Year,Middle Income Range,3819.0,5.58
LIM472,2021/22,Budget Year,Middle Income Range,4026.0,5.42
LIM472,2015/16,Audited Outcome,Affordable Range,1948.0,
LIM472,2016/17,Audited Outcome,Affordable Range,1988.0,2.05
LIM472,2017/18,Audited Outcome,Affordable Range,2410.0,21.23
LIM472,2018/19,Original Budget,Affordable Range,2814.3,16.78
LIM472,2018/19,Adjusted Budget,Affordable Range,2814.3,
LIM472,2019/20,Budget Year,Affordable Range,2939.05,4.43
LIM472,2020/21,Budget Year,Affordable Range,3102.0,5.54
LIM472,2021/22,Budget Year,Affordable Range,3270.0,5.42
LIM472,2015/16,Audited Outcome,Indigent HH receiving FBS,441.0,
LIM472,2016/17,Audited Outcome,Indigent HH receiving FBS,2462.0,458.28
LIM472,2017/18,Audited Outcome,Indigent HH receiving FBS,2772.0,12.59
LIM472,2018/19,Original Budget,Indigent HH receiving FBS,3179.95,14.72
LIM472,2018/19,Adjusted Budget,Indigent HH receiving FBS,3179.95,
LIM472,2019/20,Budget Year,Indigent HH receiving FBS,3262.0,2.58
LIM472,2020/21,Budget Year,Indigent HH receiving FBS,3446.0,5.64
LIM472,2021/22,Budget Year,Indigent HH receiving FBS,3630.0,5.34
LIM473,2015/16,Audited Outcome,Middle Income Range,,
LIM473,2016/17,Audited Outcome,Middle Income Range,,
LIM473,2017/18,Audited Outcome,Middle Income Range,,
LIM473,2018/19,Original Budget,Middle Income Range,,
LIM473,2018/19,Adjusted Budget,Middle Income Range,,
LIM473,2019/20,Budget Year,Middle Income Range,,
LIM473,2020/21,Budget Year,Middle Income Range,,
LIM473,2021/22,Budget Year,Middle Income Range,,
LIM473,2015/16,Audited Outcome,Affordable Range,,
LIM473,2016/17,Audited Outcome,Affordable Range,,
LIM473,2017/18,Audited Outcome,Affordable Range,,
LIM473,2018/19,Original Budget,Affordable Range,,
LIM473,2018/19,Adjusted Budget,Affordable Range,,
LIM473,2019/20,Budget Year,Affordable Range,,
LIM473,2020/21,Budget Year,Affordable Range,,
LIM473,2021/22,Budget Year,Affordable Range,,
LIM473,2015/16,Audited Outcome,Indigent HH receiving FBS,5356942.0,
LIM473,2016/17,Audited Outcome,Indigent HH receiving FBS,4309604.0,-19.55
LIM473,2017/18,Audited Outcome,Indigent HH receiving FBS,4685022.0,8.71
LIM473,2018/19,Original Budget,Indigent HH receiving FBS,4200000.0,-10.35
LIM473,2018/19,Adjusted Budget,Indigent HH receiving FBS,4200000.0,
LIM473,2019/20,Budget Year,Indigent HH receiving FBS,4500000.0,7.14
LIM473,2020/21,Budget Year,Indigent HH receiving FBS,4800000.0,6.67
LIM473,2021/22,Budget Year,Indigent HH receiving FBS,5000000.0,4.17
LIM476,2015/16,Audited Outcome,Middle Income Range,,
LIM476,2016/17,Audited Outcome,Middle Income Range,,
LIM476,2017/18,Audited Outcome,Middle Income Range,,
LIM476,2018/19,Original Budget,Middle Income Range,,
LIM476,2018/19,Adjusted Budget,Middle Income Range,,
LIM476,2019/20,Budget Year,Middle Income Range,,
LIM476,2020/21,Budget Year,Middle Income Range,,
LIM476,2021/22,Budget Year,Middle Income Range,,
LIM476,2015/16,Audited Outcome,Affordable Range,,
LIM476,2016/17,Audited Outcome,Affordable Range,,
LIM476,2017/18,Audited Outcome,Affordable Range,,
LIM476,2018/19,Original Budget,Affordable Range,,
LIM476,2018/19,Adjusted Budget,Affordable Range,,
LIM476,2019/20,Budget Year,Affordable Range,,
LIM476,2020/21,Budget Year,Affordable Range,,
LIM476,2021/22,Budget Year,Affordable Range,,
LIM476,2015/16,Audited Outcome,Indigent HH receiving FBS,,
LIM476,2016/17,Audited Outcome,Indigent HH receiving FBS,,
LIM476,2017/18,Audited Outcome,Indigent HH receiving FBS,,
LIM476,2018/19,Original Budget,Indigent HH receiving FBS,,
LIM476,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
LIM476,2019/20,Budget Year,Indigent HH receiving FBS,,
LIM476,2020/21,Budget Year,Indigent HH receiving FBS,,
LIM476,2021/22,Budget Year,Indigent HH receiving FBS,,
DC47,2015/16,Audited Outcome,Middle Income Range,,
DC47,2016/17,Audited Outcome,Middle Income Range,,
DC47,2017/18,Audited Outcome,Middle Income Range,,
DC47,2018/19,Original Budget,Middle Income Range,,
DC47,2018/19,Adjusted Budget,Middle Income Range,,
DC47,2019/20,Budget Year,Middle Income Range,,
DC47,2020/21,Budget Year,Middle Income Range,,
DC47,2021/22,Budget Year,Middle Income Range,,
DC47,2015/16,Audited Outcome,Affordable Range,,
DC47,2016/17,Audited Outcome,Affordable Range,,
DC47,2017/18,Audited Outcome,Affordable Range,,
DC47,2018/19,Original Budget,Affordable Range,,
DC47,2018/19,Adjusted Budget,Affordable Range,,
DC47,2019/20,Budget Year,Affordable Range,,
DC47,2020/21,Budget Year,Affordable Range,,
DC47,2021/22,Budget Year,Affordable Range,,
DC47,2015/16,Audited Outcome,Indigent HH receiving FBS,,
DC47,2016/17,Audited Outcome,Indigent HH receiving FBS,,
DC47,2017/18,Audited Outcome,Indigent HH receiving FBS,,
DC47,2018/19,Original Budget,Indigent HH receiving FBS,,
DC47,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
DC47,2019/20,Budget Year,Indigent HH receiving FBS,,
DC47,2020/21,Budget Year,Indigent HH receiving FBS,,
DC47,2021/22,Budget Year,Indigent HH receiving FBS,,
MP301,2015/16,Audited Outcome,Middle Income Range,,
MP301,2016/17,Audited Outcome,Middle Income Range,,
MP301,2017/18,Audited Outcome,Middle Income Range,,
MP301,2018/19,Original Budget,Middle Income Range,,
MP301,2018/19,Adjusted Budget,Middle Income Range,,
MP301,2019/20,Budget Year,Middle Income Range,,
MP301,2020/21,Budget Year,Middle Income Range,,
MP301,2021/22,Budget Year,Middle Income Range,,
MP301,2015/16,Audited Outcome,Affordable Range,,
MP301,2016/17,Audited Outcome,Affordable Range,,
MP301,2017/18,Audited Outcome,Affordable Range,,
MP301,2018/19,Original Budget,Affordable Range,,
MP301,2018/19,Adjusted Budget,Affordable Range,,
MP301,2019/20,Budget Year,Affordable Range,,
MP301,2020/21,Budget Year,Affordable Range,,
MP301,2021/22,Budget Year,Affordable Range,,
MP301,2015/16,Audited Outcome,Indigent HH receiving FBS,,
MP301,2016/17,Audited Outcome,Indigent HH receiving FBS,,
MP301,2017/18,Audited Outcome,Indigent HH receiving FBS,,
MP301,2018/19,Original Budget,Indigent HH receiving FBS,,
MP301,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
MP301,2019/20,Budget Year,Indigent HH receiving FBS,,
MP301,2020/21,Budget Year,Indigent HH receiving FBS,,
MP301,2021/22,Budget Year,Indigent HH receiving FBS,,
MP302,2015/16,Audited Outcome,Middle Income Range,,
MP302,2016/17,Audited Outcome,Middle Income Range,,
MP302,2017/18,Audited Outcome,Middle Income Range,,
MP302,2018/19,Original Budget,Middle Income Range,,
MP302,2018/19,Adjusted Budget,Middle Income Range,,
MP302,2019/20,Budget Year,Middle Income Range,,
MP302,2020/21,Budget Year,Middle Income Range,,
MP302,2021/22,Budget Year,Middle Income Range,,
MP302,2015/16,Audited Outcome,Affordable Range,,
MP302,2016/17,Audited Outcome,Affordable Range,,
MP302,2017/18,Audited Outcome,Affordable Range,,
MP302,2018/19,Original Budget,Affordable Range,,
MP302,2018/19,Adjusted Budget,Affordable Range,,
MP302,2019/20,Budget Year,Affordable Range,,
MP302,2020/21,Budget Year,Affordable Range,,
MP302,2021/22,Budget Year,Affordable Range,,
MP302,2015/16,Audited Outcome,Indigent HH receiving FBS,,
MP302,2016/17,Audited Outcome,Indigent HH receiving FBS,,
MP302,2017/18,Audited Outcome,Indigent HH receiving FBS,,
MP302,2018/19,Original Budget,Indigent HH receiving FBS,,
MP302,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
MP302,2019/20,Budget Year,Indigent HH receiving FBS,,
MP302,2020/21,Budget Year,Indigent HH receiving FBS,,
MP302,2021/22,Budget Year,Indigent HH receiving FBS,,
MP303,2015/16,Audited Outcome,Middle Income Range,,
MP303,2016/17,Audited Outcome,Middle Income Range,,
MP303,2017/18,Audited Outcome,Middle Income Range,,
MP303,2018/19,Original Budget,Middle Income Range,,
MP303,2018/19,Adjusted Budget,Middle Income Range,,
MP303,2019/20,Budget Year,Middle Income Range,1418.93,
MP303,2020/21,Budget Year,Middle Income Range,1492.71,5.2
MP303,2021/22,Budget Year,Middle Income Range,1570.34,5.2
MP303,2015/16,Audited Outcome,Affordable Range,,
MP303,2016/17,Audited Outcome,Affordable Range,,
MP303,2017/18,Audited Outcome,Affordable Range,,
MP303,2018/19,Original Budget,Affordable Range,,
MP303,2018/19,Adjusted Budget,Affordable Range,,
MP303,2019/20,Budget Year,Affordable Range,,
MP303,2020/21,Budget Year,Affordable Range,,
MP303,2021/22,Budget Year,Affordable Range,,
MP303,2015/16,Audited Outcome,Indigent HH receiving FBS,,
MP303,2016/17,Audited Outcome,Indigent HH receiving FBS,,
MP303,2017/18,Audited Outcome,Indigent HH receiving FBS,,
MP303,2018/19,Original Budget,Indigent HH receiving FBS,,
MP303,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
MP303,2019/20,Budget Year,Indigent HH receiving FBS,,
MP303,2020/21,Budget Year,Indigent HH receiving FBS,,
MP303,2021/22,Budget Year,Indigent HH receiving FBS,,
MP304,2015/16,Audited Outcome,Middle Income Range,,
MP304,2016/17,Audited Outcome,Middle Income Range,,
MP304,2017/18,Audited Outcome,Middle Income Range,,
MP304,2018/19,Original Budget,Middle Income Range,,
MP304,2018/19,Adjusted Budget,Middle Income Range,,
MP304,2019/20,Budget Year,Middle Income Range,,
MP304,2020/21,Budget Year,Middle Income Range,,
MP304,2021/22,Budget Year,Middle Income Range,,
MP304,2015/16,Audited Outcome,Affordable Range,,
MP304,2016/17,Audited Outcome,Affordable Range,,
MP304,2017/18,Audited Outcome,Affordable Range,,
MP304,2018/19,Original Budget,Affordable Range,,
MP304,2018/19,Adjusted Budget,Affordable Range,,
MP304,2019/20,Budget Year,Affordable Range,,
MP304,2020/21,Budget Year,Affordable Range,,
MP304,2021/22,Budget Year,Affordable Range,,
MP304,2015/16,Audited Outcome,Indigent HH receiving FBS,,
MP304,2016/17,Audited Outcome,Indigent HH receiving FBS,,
MP304,2017/18,Audited Outcome,Indigent HH receiving FBS,,
MP304,2018/19,Original Budget,Indigent HH receiving FBS,,
MP304,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
MP304,2019/20,Budget Year,Indigent HH receiving FBS,,
MP304,2020/21,Budget Year,Indigent HH receiving FBS,,
MP304,2021/22,Budget Year,Indigent HH receiving FBS,,
MP305,2015/16,Audited Outcome,Middle Income Range,,
MP305,2016/17,Audited Outcome,Middle Income Range,,
MP305,2017/18,Audited Outcome,Middle Income Range,,
MP305,2018/19,Original Budget,Middle Income Range,,
MP305,2018/19,Adjusted Budget,Middle Income Range,,
MP305,2019/20,Budget Year,Middle Income Range,,
MP305,2020/21,Budget Year,Middle Income Range,,
MP305,2021/22,Budget Year,Middle Income Range,,
MP305,2015/16,Audited Outcome,Affordable Range,,
MP305,2016/17,Audited Outcome,Affordable Range,,
MP305,2017/18,Audited Outcome,Affordable Range,,
MP305,2018/19,Original Budget,Affordable Range,,
MP305,2018/19,Adjusted Budget,Affordable Range,,
MP305,2019/20,Budget Year,Affordable Range,,
MP305,2020/21,Budget Year,Affordable Range,,
MP305,2021/22,Budget Year,Affordable Range,,
MP305,2015/16,Audited Outcome,Indigent HH receiving FBS,,
MP305,2016/17,Audited Outcome,Indigent HH receiving FBS,,
MP305,2017/18,Audited Outcome,Indigent HH receiving FBS,,
MP305,2018/19,Original Budget,Indigent HH receiving FBS,,
MP305,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
MP305,2019/20,Budget Year,Indigent HH receiving FBS,,
MP305,2020/21,Budget Year,Indigent HH receiving FBS,,
MP305,2021/22,Budget Year,Indigent HH receiving FBS,,
MP306,2015/16,Audited Outcome,Middle Income Range,,
MP306,2016/17,Audited Outcome,Middle Income Range,,
MP306,2017/18,Audited Outcome,Middle Income Range,,
MP306,2018/19,Original Budget,Middle Income Range,,
MP306,2018/19,Adjusted Budget,Middle Income Range,,
MP306,2019/20,Budget Year,Middle Income Range,,
MP306,2020/21,Budget Year,Middle Income Range,,
MP306,2021/22,Budget Year,Middle Income Range,,
MP306,2015/16,Audited Outcome,Affordable Range,,
MP306,2016/17,Audited Outcome,Affordable Range,,
MP306,2017/18,Audited Outcome,Affordable Range,,
MP306,2018/19,Original Budget,Affordable Range,,
MP306,2018/19,Adjusted Budget,Affordable Range,,
MP306,2019/20,Budget Year,Affordable Range,,
MP306,2020/21,Budget Year,Affordable Range,,
MP306,2021/22,Budget Year,Affordable Range,,
MP306,2015/16,Audited Outcome,Indigent HH receiving FBS,,
MP306,2016/17,Audited Outcome,Indigent HH receiving FBS,,
MP306,2017/18,Audited Outcome,Indigent HH receiving FBS,,
MP306,2018/19,Original Budget,Indigent HH receiving FBS,,
MP306,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
MP306,2019/20,Budget Year,Indigent HH receiving FBS,,
MP306,2020/21,Budget Year,Indigent HH receiving FBS,,
MP306,2021/22,Budget Year,Indigent HH receiving FBS,,
MP307,2015/16,Audited Outcome,Middle Income Range,,
MP307,2016/17,Audited Outcome,Middle Income Range,,
MP307,2017/18,Audited Outcome,Middle Income Range,,
MP307,2018/19,Original Budget,Middle Income Range,,
MP307,2018/19,Adjusted Budget,Middle Income Range,,
MP307,2019/20,Budget Year,Middle Income Range,,
MP307,2020/21,Budget Year,Middle Income Range,,
MP307,2021/22,Budget Year,Middle Income Range,,
MP307,2015/16,Audited Outcome,Affordable Range,,
MP307,2016/17,Audited Outcome,Affordable Range,,
MP307,2017/18,Audited Outcome,Affordable Range,,
MP307,2018/19,Original Budget,Affordable Range,,
MP307,2018/19,Adjusted Budget,Affordable Range,,
MP307,2019/20,Budget Year,Affordable Range,,
MP307,2020/21,Budget Year,Affordable Range,,
MP307,2021/22,Budget Year,Affordable Range,,
MP307,2015/16,Audited Outcome,Indigent HH receiving FBS,,
MP307,2016/17,Audited Outcome,Indigent HH receiving FBS,,
MP307,2017/18,Audited Outcome,Indigent HH receiving FBS,,
MP307,2018/19,Original Budget,Indigent HH receiving FBS,,
MP307,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
MP307,2019/20,Budget Year,Indigent HH receiving FBS,,
MP307,2020/21,Budget Year,Indigent HH receiving FBS,,
MP307,2021/22,Budget Year,Indigent HH receiving FBS,,
DC30,2015/16,Audited Outcome,Middle Income Range,,
DC30,2016/17,Audited Outcome,Middle Income Range,,
DC30,2017/18,Audited Outcome,Middle Income Range,,
DC30,2018/19,Original Budget,Middle Income Range,,
DC30,2018/19,Adjusted Budget,Middle Income Range,,
DC30,2019/20,Budget Year,Middle Income Range,,
DC30,2020/21,Budget Year,Middle Income Range,,
DC30,2021/22,Budget Year,Middle Income Range,,
DC30,2015/16,Audited Outcome,Affordable Range,,
DC30,2016/17,Audited Outcome,Affordable Range,,
DC30,2017/18,Audited Outcome,Affordable Range,,
DC30,2018/19,Original Budget,Affordable Range,,
DC30,2018/19,Adjusted Budget,Affordable Range,,
DC30,2019/20,Budget Year,Affordable Range,,
DC30,2020/21,Budget Year,Affordable Range,,
DC30,2021/22,Budget Year,Affordable Range,,
DC30,2015/16,Audited Outcome,Indigent HH receiving FBS,,
DC30,2016/17,Audited Outcome,Indigent HH receiving FBS,,
DC30,2017/18,Audited Outcome,Indigent HH receiving FBS,,
DC30,2018/19,Original Budget,Indigent HH receiving FBS,,
DC30,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
DC30,2019/20,Budget Year,Indigent HH receiving FBS,,
DC30,2020/21,Budget Year,Indigent HH receiving FBS,,
DC30,2021/22,Budget Year,Indigent HH receiving FBS,,
MP311,2015/16,Audited Outcome,Middle Income Range,,
MP311,2016/17,Audited Outcome,Middle Income Range,,
MP311,2017/18,Audited Outcome,Middle Income Range,,
MP311,2018/19,Original Budget,Middle Income Range,,
MP311,2018/19,Adjusted Budget,Middle Income Range,,
MP311,2019/20,Budget Year,Middle Income Range,,
MP311,2020/21,Budget Year,Middle Income Range,,
MP311,2021/22,Budget Year,Middle Income Range,,
MP311,2015/16,Audited Outcome,Affordable Range,,
MP311,2016/17,Audited Outcome,Affordable Range,,
MP311,2017/18,Audited Outcome,Affordable Range,,
MP311,2018/19,Original Budget,Affordable Range,,
MP311,2018/19,Adjusted Budget,Affordable Range,,
MP311,2019/20,Budget Year,Affordable Range,,
MP311,2020/21,Budget Year,Affordable Range,,
MP311,2021/22,Budget Year,Affordable Range,,
MP311,2015/16,Audited Outcome,Indigent HH receiving FBS,,
MP311,2016/17,Audited Outcome,Indigent HH receiving FBS,,
MP311,2017/18,Audited Outcome,Indigent HH receiving FBS,,
MP311,2018/19,Original Budget,Indigent HH receiving FBS,,
MP311,2018/19,Adjusted Budget,Indigent HH receiving FBS,,
MP311,2019/20,Budget Year,Indigent HH receiving FBS,,
MP311,2020/21,Budget Year,Indigent HH receiving FBS,,
MP311,2021/22,Budget Year,Indigent HH receiving FBS,,
MP312,2015/16,Audited Outcome,Middle Income Range,,
MP312,2016/17,Audited Outcome,Middle Income Range,,
MP312,2017/18,Audited Outcome,Middle Income Range,,
MP312,2018/19,Original Budget,Middle Income Range,3901.69,
MP312,2018/19,Adjusted Budget,Middle Income Range,3901.69,
MP312,2019/20,Budget Year,Middle Income Range,4335.66,11.12
MP312,2020/21,Budget Year,Middle Income Range,4569.79,5.4
MP312,2021/22,Budget Year,Middle Income Range,4816.55,5.4
MP312,2015/16,Audited Outcome,Affordable Range,,
MP312,2016/17,Audited Outcome,Affordable Range,,
MP312,2017/18,Audited Outcome,Affordable Range,,
MP312,2018/19,Original Budget,Affordable Range,2024.96,
MP312,2018/19,Adjusted Budget,Affordable Range,2024.96,
MP312,2019/20,Budget Year,Affordable Range,2270.46,12.12
MP312,2020/21,Budget Year,Affordable Range,2393.06,5.4
MP312,2021/22,Budget Year,Affordable Range,2522.29,5.4
MP312,2015/16,Audited Outcome,Indigent HH receiving FBS,,
MP312,2016/17,Audited Outcome,Indigent HH receiving FBS,,
MP312,2017/18,Audited Outcome,Indigent HH receiving FBS,,
MP312,2018/19,Original Budget,Indigent HH receiving FBS,667.01,
MP312,2018/19,Adjusted Budget,Indigent HH receiving FBS,,-100.0
MP312,2019/20,Budget Year,Indigent HH receiving FBS,759.91,
MP312,2020/21,Budget Year,Indigent HH receiving FBS,800.95,5.4
MP312,2021/22,Budget Year,Indigent HH receiving FBS,844.2,5.4
MP313,2015/16,Audited Outcome,Middle Income Range,2752.69,
MP313,2016/17,Audited Outcome,Middle Income Range,2950.67,7.19
MP313,2017/18,Audited Outcome,Middle Income Range,3075.71,4.24
MP313,2018/19,Original Budget,Middle Income Range,3396.44,10.43
MP313,2018/19,Adjusted Budget,Middle Income Range,3396.44,
MP313,2019/20,Budget Year,Middle Income Range,3796.11,11.77
MP313,2020/21,Budget Year,Middle Income Range,4122.82,8.61
MP313,2021/22,Budget Year,Middle Income Range,4427.53,7.39
MP313,2015/16,Audited Outcome,Affordable Range,1516.39,
MP313,2016/17,Audited Outcome,Affordable Range,1622.0,6.96
MP313,2017/18,Audited Outcome,Affordable Range,1700.03,4.81
MP313,2018/19,Original Budget,Affordable Range,1700.53,0.03
MP313,2018/19,Adjusted Budget,Affordable Range,1700.53,
MP313,2019/20,Budget Year,Affordable Range,1870.39,9.99
